日期,时间段,预测负载功率（kW）
2026-01-01,00:00-00:10,3372.346522
2026-01-01,00:10-00:20,3438.713176
2026-01-01,00:20-00:30,3540.195596
2026-01-01,00:30-00:40,3589.360129
2026-01-01,00:40-00:50,3584.564192
2026-01-01,00:50-01:00,3553.688835
2026-01-01,01:00-01:10,3548.262333
2026-01-01,01:10-01:20,3672.330560
2026-01-01,01:20-01:30,3771.475390
2026-01-01,01:30-01:40,3606.132686
2026-01-01,01:40-01:50,3654.115455
2026-01-01,01:50-02:00,3936.682706
2026-01-01,02:00-02:10,3963.484335
2026-01-01,02:10-02:20,3759.297585
2026-01-01,02:20-02:30,3622.032759
2026-01-01,02:30-02:40,3818.149176
2026-01-01,02:40-02:50,3958.732557
2026-01-01,02:50-03:00,3938.881265
2026-01-01,03:00-03:10,4000.814749
2026-01-01,03:10-03:20,3987.300418
2026-01-01,03:20-03:30,3853.005624
2026-01-01,03:30-03:40,3781.274422
2026-01-01,03:40-03:50,3984.433344
2026-01-01,03:50-04:00,4249.211542
2026-01-01,04:00-04:10,4137.600695
2026-01-01,04:10-04:20,4017.104812
2026-01-01,04:20-04:30,4065.890428
2026-01-01,04:30-04:40,4109.461126
2026-01-01,04:40-04:50,4143.636356
2026-01-01,04:50-05:00,4192.646002
2026-01-01,05:00-05:10,4244.319810
2026-01-01,05:10-05:20,4218.551709
2026-01-01,05:20-05:30,4100.514621
2026-01-01,05:30-05:40,4056.303974
2026-01-01,05:40-05:50,4605.767908
2026-01-01,05:50-06:00,5407.608245
2026-01-01,06:00-06:10,5517.507442
2026-01-01,06:10-06:20,5355.304073
2026-01-01,06:20-06:30,5271.499297
2026-01-01,06:30-06:40,5234.065114
2026-01-01,06:40-06:50,5352.090932
2026-01-01,06:50-07:00,5502.132832
2026-01-01,07:00-07:10,5430.065863
2026-01-01,07:10-07:20,5426.866874
2026-01-01,07:20-07:30,5424.074281
2026-01-01,07:30-07:40,5212.578058
2026-01-01,07:40-07:50,5931.987861
2026-01-01,07:50-08:00,7164.485838
2026-01-01,08:00-08:10,7235.014347
2026-01-01,08:10-08:20,6999.273949
2026-01-01,08:20-08:30,7042.107660
2026-01-01,08:30-08:40,7089.432926
2026-01-01,08:40-08:50,7124.955081
2026-01-01,08:50-09:00,7110.998904
2026-01-01,09:00-09:10,7001.179726
2026-01-01,09:10-09:20,7076.061286
2026-01-01,09:20-09:30,7194.962831
2026-01-01,09:30-09:40,6958.781295
2026-01-01,09:40-09:50,6919.041408
2026-01-01,09:50-10:00,7146.321373
2026-01-01,10:00-10:10,7137.615494
2026-01-01,10:10-10:20,6988.578860
2026-01-01,10:20-10:30,6871.192219
2026-01-01,10:30-10:40,6858.911663
2026-01-01,10:40-10:50,6950.577119
2026-01-01,10:50-11:00,6997.496862
2026-01-01,11:00-11:10,6828.396011
2026-01-01,11:10-11:20,6692.590597
2026-01-01,11:20-11:30,6760.252690
2026-01-01,11:30-11:40,6928.429613
2026-01-01,11:40-11:50,6772.402458
2026-01-01,11:50-12:00,6422.861289
2026-01-01,12:00-12:10,6417.981272
2026-01-01,12:10-12:20,6408.061859
2026-01-01,12:20-12:30,6210.851812
2026-01-01,12:30-12:40,6059.912562
2026-01-01,12:40-12:50,6246.360786
2026-01-01,12:50-13:00,6612.658549
2026-01-01,13:00-13:10,6702.218899
2026-01-01,13:10-13:20,6686.505946
2026-01-01,13:20-13:30,6660.040706
2026-01-01,13:30-13:40,6533.825434
2026-01-01,13:40-13:50,6434.624875
2026-01-01,13:50-14:00,6405.931361
2026-01-01,14:00-14:10,6378.801886
2026-01-01,14:10-14:20,6387.796180
2026-01-01,14:20-14:30,6355.806659
2026-01-01,14:30-14:40,6175.059646
2026-01-01,14:40-14:50,6154.232929
2026-01-01,14:50-15:00,6316.277263
2026-01-01,15:00-15:10,6358.154019
2026-01-01,15:10-15:20,6244.165023
2026-01-01,15:20-15:30,6142.291203
2026-01-01,15:30-15:40,6238.237932
2026-01-01,15:40-15:50,6272.159882
2026-01-01,15:50-16:00,6183.627561
2026-01-01,16:00-16:10,6157.385870
2026-01-01,16:10-16:20,6115.863297
2026-01-01,16:20-16:30,6049.541882
2026-01-01,16:30-16:40,6049.136105
2026-01-01,16:40-16:50,6062.025013
2026-01-01,16:50-17:00,6089.073311
2026-01-01,17:00-17:10,6162.336436
2026-01-01,17:10-17:20,6092.585986
2026-01-01,17:20-17:30,6026.888579
2026-01-01,17:30-17:40,6171.811340
2026-01-01,17:40-17:50,5477.704252
2026-01-01,17:50-18:00,4310.964083
2026-01-01,18:00-18:10,4178.045060
2026-01-01,18:10-18:20,4252.355137
2026-01-01,18:20-18:30,4114.807739
