日期,时间段,预测光伏功率（kW）
2026-01-01,00:00-00:10,0.000000
2026-01-01,00:10-00:20,0.000000
2026-01-01,00:20-00:30,0.000000
2026-01-01,00:30-00:40,0.000000
2026-01-01,00:40-00:50,0.000000
2026-01-01,00:50-01:00,0.000000
2026-01-01,01:00-01:10,0.000000
2026-01-01,01:10-01:20,0.000000
2026-01-01,01:20-01:30,0.000000
2026-01-01,01:30-01:40,0.000000
2026-01-01,01:40-01:50,0.000000
2026-01-01,01:50-02:00,0.000000
2026-01-01,02:00-02:10,0.000000
2026-01-01,02:10-02:20,0.000000
2026-01-01,02:20-02:30,0.000000
2026-01-01,02:30-02:40,0.000000
2026-01-01,02:40-02:50,0.000000
2026-01-01,02:50-03:00,0.000000
2026-01-01,03:00-03:10,0.000000
2026-01-01,03:10-03:20,0.000000
2026-01-01,03:20-03:30,0.000000
2026-01-01,03:30-03:40,0.000000
2026-01-01,03:40-03:50,0.000000
2026-01-01,03:50-04:00,0.000000
2026-01-01,04:00-04:10,0.000000
2026-01-01,04:10-04:20,0.000000
2026-01-01,04:20-04:30,0.000000
2026-01-01,04:30-04:40,0.000000
2026-01-01,04:40-04:50,0.000000
2026-01-01,04:50-05:00,0.000000
2026-01-01,05:00-05:10,0.000943
2026-01-01,05:10-05:20,0.000000
2026-01-01,05:20-05:30,0.000000
2026-01-01,05:30-05:40,0.013251
2026-01-01,05:40-05:50,0.000000
2026-01-01,05:50-06:00,0.000000
2026-01-01,06:00-06:10,0.937694
2026-01-01,06:10-06:20,1.386949
2026-01-01,06:20-06:30,2.295693
2026-01-01,06:30-06:40,9.646447
2026-01-01,06:40-06:50,4.096126
2026-01-01,06:50-07:00,5.137371
2026-01-01,07:00-07:10,187.525904
2026-01-01,07:10-07:20,445.586259
2026-01-01,07:20-07:30,707.187939
2026-01-01,07:30-07:40,975.016195
2026-01-01,07:40-07:50,1261.047069
2026-01-01,07:50-08:00,1561.863609
2026-01-01,08:00-08:10,1856.217861
2026-01-01,08:10-08:20,2121.290456
2026-01-01,08:20-08:30,2381.119992
2026-01-01,08:30-08:40,2684.830321
2026-01-01,08:40-08:50,2994.772221
2026-01-01,08:50-09:00,3277.137963
2026-01-01,09:00-09:10,3529.431983
2026-01-01,09:10-09:20,3769.363528
2026-01-01,09:20-09:30,4000.381607
2026-01-01,09:30-09:40,4216.406341
2026-01-01,09:40-09:50,4446.408842
2026-01-01,09:50-10:00,4661.562995
2026-01-01,10:00-10:10,4803.973809
2026-01-01,10:10-10:20,4961.621311
2026-01-01,10:20-10:30,5147.624281
2026-01-01,10:30-10:40,5287.574991
2026-01-01,10:40-10:50,5404.508612
2026-01-01,10:50-11:00,5531.012904
2026-01-01,11:00-11:10,5660.879690
2026-01-01,11:10-11:20,5702.860665
2026-01-01,11:20-11:30,5680.784670
2026-01-01,11:30-11:40,5712.195595
2026-01-01,11:40-11:50,5747.634756
2026-01-01,11:50-12:00,5757.674307
2026-01-01,12:00-12:10,5765.727192
2026-01-01,12:10-12:20,5752.404293
2026-01-01,12:20-12:30,5662.948425
2026-01-01,12:30-12:40,5478.597477
2026-01-01,12:40-12:50,5407.974170
2026-01-01,12:50-13:00,5432.767120
2026-01-01,13:00-13:10,5329.826908
2026-01-01,13:10-13:20,5188.619515
2026-01-01,13:20-13:30,5084.168891
2026-01-01,13:30-13:40,4987.128395
2026-01-01,13:40-13:50,4837.434143
2026-01-01,13:50-14:00,4657.032304
2026-01-01,14:00-14:10,4517.356875
2026-01-01,14:10-14:20,4336.901281
2026-01-01,14:20-14:30,4078.174960
2026-01-01,14:30-14:40,3790.885961
2026-01-01,14:40-14:50,3537.327272
2026-01-01,14:50-15:00,3306.716547
2026-01-01,15:00-15:10,3034.758096
2026-01-01,15:10-15:20,2743.228613
2026-01-01,15:20-15:30,2451.180362
2026-01-01,15:30-15:40,2155.027765
2026-01-01,15:40-15:50,1860.795474
2026-01-01,15:50-16:00,1574.478442
2026-01-01,16:00-16:10,1294.580866
