stage,quantile_overnight,quantile_day,days,plan_kwh,adjusted_kwh,plan_cost,adjustment_cost,emergency_kwh,emergency_cost,spill_kwh,charge_kwh,discharge_kwh,total_cost,storage_end,seconds
coarse,0.5,0.75,334,21086794.270323984,21693932.81721929,12980159.231959416,707253.2763911965,18314.342214085907,97024.07729590319,2537566.2283757855,6506036.520567124,5270545.084476208,13784436.585646516,5866.665818784482,111.769733000001
coarse,0.5,0.45,334,19810166.35398633,20658749.95012693,12010169.17818217,1064744.4739568103,122079.62436433285,693437.0835315291,1571592.8491771528,6685927.329302879,5415880.098955438,13768350.735670509,5710.482087941255,112.17546779999975
coarse,0.5,0.55,334,20208922.643024504,20945323.155176435,12307748.301286427,889667.8288668565,69226.94973876362,388679.4582957687,1807615.3625092716,6674140.654083224,5406395.406643948,13586095.588449052,5769.801423857627,112.11030589999427
coarse,0.5,0.35,334,19399525.06957534,20390047.68660159,11705372.25606601,1303310.4227811203,200399.39295750717,1144006.9908325493,1388425.78157582,6647957.252019875,5385125.44900326,14152689.669679679,5634.069536030305,112.35193609999988
coarse,0.5,0.25,334,18961289.708834812,20120152.5349062,11379113.402692612,1609541.200233562,312790.5471005272,1789821.6527312356,1246410.2729993332,6566218.760792939,5318875.446752203,14778476.25565741,5554.112432990734,113.62379579999833
coarse,0.5,0.65,334,20622033.431630068,21277545.536521588,12621537.19176794,771846.4381873142,36389.9470642992,200114.25583376104,2118624.6446344275,6613652.302330238,5357530.958345459,13593497.885789016,5810.96070505943,114.13963720000174
coarse,0.6,0.35,334,19494042.91145051,20451743.48628632,11746794.85190133,1265247.8638374973,189428.11845367626,1092269.7125443905,1439489.8229301511,6646194.032145935,5383701.745302769,14104312.428283218,5634.069536030305,115.24255289999564
coarse,0.6,0.25,334,19055826.946430303,20180138.81065613,11420496.233887894,1567464.567392538,297730.4060852411,1717109.26053794,1290131.7871171047,6572558.8693027515,5324010.934645155,14705070.061818372,5554.112432990734,115.31724889999896
coarse,0.6,0.75,334,21181092.234438706,21757525.590560958,13021784.641851874,671833.4000173202,17346.678702127443,93955.6498712419,2604542.982096527,6483133.131667116,5251993.339467203,13787573.691740435,5866.665818784482,298.41996479999943
coarse,0.6,0.65,334,20716399.508890722,21339861.98794075,12663097.89532107,735123.1384430126,34870.590293943795,194472.14139214836,2183206.8429254247,6593730.704213581,5341394.4638709705,13592693.17515623,5810.96070505943,299.26752309999574
