stage,quantile_overnight,quantile_day,days,plan_kwh,adjusted_kwh,plan_cost,adjustment_cost,emergency_kwh,emergency_cost,spill_kwh,charge_kwh,discharge_kwh,total_cost,storage_end,seconds
coarse,0.5,0.75,334,21086781.010717344,21693919.557612684,12980153.558173671,707253.2763912377,18314.34221411425,97024.07729608072,2537566.2283756686,6505966.733164686,5270488.556680229,13784430.91186099,5866.665818784482,123.5543372999964
coarse,0.5,0.55,334,20208899.293026976,20945299.80517894,12307738.309822474,889667.8288668926,69226.94973877433,388679.45829581947,1807615.362509252,6674017.7593597295,5406295.861917919,13586085.596985187,5769.801423857627,123.80595980000362
coarse,0.5,0.45,334,19810166.381741356,20658749.977882016,12010169.08479363,1064744.4739569088,122079.62436439354,693437.0835318981,1571592.8491771244,6685927.475382673,5415880.217280056,13768350.642282436,5710.482087941255,125.38227690000349
coarse,0.5,0.65,334,20622044.788408656,21277444.716919232,12621542.209449297,771769.860980888,36389.947064303444,200114.2558337808,2118512.4682533965,6613712.074849624,5357579.374086163,13593426.326263966,5810.96070505943,125.50083270000323
coarse,0.6,0.25,334,19055815.72505179,20180127.758655526,11420491.44906544,1567464.7426733393,297730.4060853078,1717109.2605383506,1290131.7871170924,6572500.700878904,5323963.818221836,14705065.45227713,5554.112432990734,125.53836169999704
coarse,0.6,0.35,334,19494042.911450528,20451743.486286327,11746794.851901319,1265247.863837474,189428.11845370338,1092269.712544634,1439489.8229301674,6646194.032146034,5383701.7453028485,14104312.428283427,5634.069536030305,125.80800659999659
coarse,0.5,0.25,334,18961283.55767133,20120146.383742843,11379110.770609692,1609541.2002337712,312790.54710059275,1789821.6527316398,1246410.2729993092,6566186.386249404,5318849.22337194,14778473.623575103,5554.112432990734,126.41077939999377
coarse,0.5,0.35,334,19399525.264129974,20390047.881156247,11705372.33536037,1303310.4516277702,200399.88127040362,1144009.6396859523,1388426.3844312169,6647981.380491234,5385149.497462463,14152692.426674094,5634.069536030305,126.49368859999959
coarse,0.6,0.55,334,20303308.59414666,21006964.492183935,12349271.481053064,852529.3695405857,65178.38653701025,370539.581751454,1868026.125173485,6659309.133775491,5394381.875194693,13572340.432345103,5769.801423857627,156.6917384000044
coarse,0.6,0.75,334,21181092.2344386,21757525.590560853,13021784.641851766,671833.4000173224,17346.67870215575,93955.64987141927,2604542.9820964276,6483133.131667242,5251993.339467304,13787573.69174051,5866.665818784482,156.6797194000028
coarse,0.6,0.45,334,19904618.00167945,20720716.881457128,12051633.4550814,1026754.9752083486,115128.42539969033,661381.973630956,1628164.9963203599,6677735.672578298,5409244.857008515,13739770.403920704,5710.482087941255,158.93697869999596
coarse,0.6,0.65,334,20716409.38769977,21339871.866749804,12663102.263730403,735123.1384430263,34870.590293945585,194472.1413921559,2183206.842925388,6593782.697945661,5341436.578793954,13592697.543565586,5810.96070505943,157.58226760000252
coarse,0.7,0.55,334,20404828.969898473,21082818.880571246,12393940.348375255,823758.9847716722,62481.243706969166,359412.21911497065,1944332.849747074,6642732.928426408,5380955.148861928,13577111.552261898,5769.801423857627,156.8279188000015
coarse,0.7,0.35,334,19595712.602457605,20526670.931684267,11791377.074470796,1233776.1303668444,181492.1650771608,1054165.1140091121,1507417.4099865064,6641267.216172711,5379711.02436446,14079318.318846753,5634.069536030305,158.01875480000308
coarse,0.7,0.45,334,20006237.864244003,20796346.94945673,12096259.941364562,996629.3126458459,109666.29729247624,635922.9802642018,1700134.7579512363,6668252.400270436,5401563.406439147,13728812.234274609,5710.482087941255,157.85727000000043
coarse,0.7,0.25,334,19157496.901244897,20254684.5061758,11465036.69916125,1533881.072864426,285279.1175563448,1656436.014112432,1351663.4884492445,6575520.478032577,5326409.837716312,14655353.786138108,5554.112432990734,158.80827999999747
coarse,0.7,0.65,334,20817919.51237134,21417425.2514333,12707824.640793376,707570.9291911807,33195.409752510095,188533.38289059367,2262696.1311667543,6574776.992159781,5326041.957107392,13603928.95287515,5810.96070505943,153.67044739999983
coarse,0.8,0.75,334,21409229.910116363,21946277.667254172,13122366.082438173,625834.5168919945,14694.05603192663,85306.75416153892,2799107.8345553717,6438578.403057411,5215904.009293337,13833507.353491707,5866.665818784482,149.98084489999746
coarse,0.7,0.75,334,21282529.263448562,21836648.441306666,13066569.44126405,645878.2104824344,16333.901154999458,91083.12187620926,2687027.2568174177,6460111.01839169,5233345.427714107,13803530.773622695,5866.665818784482,153.32345160000114
coarse,0.8,0.55,334,20531698.746252503,21189057.23033882,12449643.759285953,799758.8850483047,59910.18733201449,349361.73058690137,2051233.24702763,6625716.592174176,5367171.916497622,13598764.374921158,5769.801423857627,152.8124347999983
coarse,0.8,0.65,334,20944694.171439324,21525586.84314196,12763552.481809625,686078.2809883405,31608.81406633618,183153.97878055635,2373009.256016209,6555102.629912494,5310105.723687089,13632784.741578523,5810.96070505943,153.81109569999535
coarse,0.8,0.45,334,20133152.436451618,20902482.14213513,12151876.583979798,972994.278167713,103904.45775597486,609758.6792408437,1802855.0836043495,6655899.913369493,5391557.8920493815,13734629.541388355,5710.482087941255,155.02503210000577
coarse,0.8,0.35,334,19722657.861899626,20630731.62046636,11846940.435078343,1206861.7476592045,173416.51102632648,1016296.9994345724,1604863.7831225032,6633575.961410976,5373481.10800746,14070099.18217212,5634.069536030305,155.47341269999743
coarse,0.8,0.25,334,19284488.77202351,20359141.086957857,11520562.78886946,1506670.1198324305,272490.35045865446,1594769.8025227124,1443311.3392829944,6575625.545667218,5326494.942500369,14622002.7112246,5554.112432990734,159.26936579999892
coarse,0.9,0.75,334,21600963.315272525,22120411.28346228,13207004.0398695,605297.6178176509,13359.514320887449,80768.71219767188,2976251.2272622543,6415713.570374198,5197383.494819935,13893070.369884824,5866.665818784482,145.52924189999612
coarse,0.9,0.35,334,19914788.393495716,20798613.176590864,11931309.932726758,1177337.8444195397,165543.97635790167,979302.9906179891,1765931.1737938593,6628005.597119995,5368969.112931768,14087950.767764285,5634.069536030305,149.28452560000005
